X-Axis,Z Scores
-98.07990399519976,0.0
-98.06990349517476,0.0
-98.05990299514976,0.0
-98.04990249512475,0.0
-98.03990199509975,0.0
-98.02990149507475,0.0
-98.01990099504975,0.0
-98.00990049502475,0.0
-97.99989999499975,0.0
-97.98989949497475,0.0
-97.97989899494975,0.0
-97.96989849492475,0.0
-97.95989799489975,0.0
-97.94989749487475,0.0
-97.93989699484975,0.0
-97.92989649482475,0.0
-97.91989599479975,0.0
-97.90989549477474,0.0
-97.89989499474974,0.0
-97.88989449472474,0.0
-97.87989399469973,0.0
-97.86989349467473,0.0
-97.85989299464973,0.0
-97.84989249462473,0.0
-97.83989199459972,0.0
-97.82989149457472,0.0
-97.81989099454972,0.0
-97.80989049452472,0.0
-97.79988999449972,0.0
-97.78988949447472,0.0
-97.77988899444972,0.0
-97.76988849442472,0.0
-97.75988799439972,0.0
-97.74988749437472,0.0
-97.73988699434972,0.0
-97.72988649432472,0.0
-97.71988599429972,0.0
-97.70988549427472,0.0
-97.69988499424971,0.0
-97.68988449422471,0.0
-97.67988399419971,0.0
-97.66988349417471,0.0
-97.65988299414971,0.0
-97.64988249412471,0.0
-97.63988199409971,0.0
-97.62988149407471,0.0
-97.61988099404971,0.0
-97.60988049402471,0.0
-97.5998799939997,0.0
-97.58987949397469,0.0
-97.57987899394969,0.0
-97.56987849392469,0.0
-97.55987799389969,0.0
-97.54987749387469,0.0
-97.53987699384969,0.0
-97.52987649382469,0.0
-97.51987599379969,0.0
-97.50987549377469,0.0
-97.49987499374969,0.0
-97.48987449372468,0.0
-97.47987399369968,0.0
-97.46987349367468,0.0
-97.45987299364968,0.0
-97.44987249362468,0.0
-97.43987199359968,0.0
-97.42987149357468,0.0
-97.41987099354968,0.0
-97.40987049352468,0.0
-97.39986999349968,0.0
-97.38986949347468,0.0
-97.37986899344968,0.0
-97.36986849342468,0.0
-97.35986799339967,0.0
-97.34986749337467,0.0
-97.33986699334967,0.0
-97.32986649332467,0.0
-97.31986599329966,0.0
-97.30986549327466,0.0
-97.29986499324966,0.0
-97.28986449322466,0.0
-97.27986399319965,0.0
-97.26986349317465,0.0
-97.25986299314965,0.0
-97.24986249312465,0.0
-97.23986199309965,0.0
-97.22986149307465,0.0
-97.21986099304965,0.0
-97.20986049302465,0.0
-97.19985999299965,0.0
-97.18985949297465,0.0
-97.17985899294965,0.0
-97.16985849292465,0.0
-97.15985799289965,0.0
-97.14985749287465,0.0
-97.13985699284964,0.0
-97.12985649282464,0.0
-97.11985599279964,0.0
-97.10985549277464,0.0
-97.09985499274964,0.0
-97.08985449272464,0.0
-97.07985399269964,0.0
-97.06985349267464,0.0
-97.05985299264964,0.0
-97.04985249262464,0.0
-97.03985199259964,0.0
-97.02985149257464,0.0
-97.01985099254962,0.0
-97.00985049252462,0.0
-96.99984999249962,0.0
-96.98984949247462,0.0
-96.97984899244962,0.0
-96.96984849242462,0.0
-96.95984799239962,0.0
-96.94984749237462,0.0
-96.93984699234962,0.0
-96.92984649232461,0.0
-96.91984599229961,0.0
-96.90984549227461,0.0
-96.89984499224961,0.0
-96.88984449222461,0.0
-96.87984399219961,0.0
-96.86984349217461,0.0
-96.85984299214961,0.0
-96.84984249212461,0.0
-96.83984199209961,0.0
-96.8298414920746,0.0
-96.8198409920496,0.0
-96.8098404920246,0.0
-96.7998399919996,0.0
-96.7898394919746,0.0
-96.7798389919496,0.0
-96.7698384919246,0.0
-96.7598379918996,0.0
-96.74983749187459,0.0
-96.73983699184959,0.0
-96.72983649182459,0.0
-96.71983599179958,0.0
-96.70983549177458,0.0
-96.69983499174958,0.0
-96.68983449172458,0.0
-96.67983399169958,0.0
-96.66983349167458,0.0
-96.65983299164958,0.0
-96.64983249162458,0.0
